_id,RSN,Property Manager,PCODE,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
183643,4153111,,M6C,2017,2021,1930,PRIVATE,9,Davenport,925 ST CLAIR AVE W,4,24,2021-05-05,74,Evaluation needs to be conducted in 2 years,16,3,3,4,4,3,3,,4,,4,3,3,5,4,4,4,,4,4,,S0928,43.67952949,-79.43471095,310048.545,4837510.422
183644,4153115,,M6H,2017,2021,1930,PRIVATE,9,Davenport,109 GLENHOLME AVE,3,15,2021-05-05,81,Evaluation needs to be conducted in 3 years,14,4,4,4,4,,4,,,,4,4,4,5,4,4,4,,4,4,,S0928,43.67868242,-79.43849617,309743.431,4837416.085
183645,4153116,,M6E,2017,2021,1951,PRIVATE,9,Davenport,1095 ST CLAIR AVE W,3,11,2021-05-05,64,Evaluation needs to be conducted in 1 year,15,3,4,3,3,,3,,3,,,3,3,3,3,3,3,3,4,4,,S0928,43.67825588,-79.4404626,309584.915,4837368.586
183646,4152925,,M6P,2017,2021,1994,TCHC,9,Davenport,11 RANDOLPH AVE,6,95,2021-05-05,74,Evaluation needs to be conducted in 2 years,18,4,3,4,3,4,4,,4,3,4,3,4,5,4,3,4,3,4,4,,S0929,43.65829898,-79.45021102,308800.29,4835150.998
183647,4153153,NJS CAPITAL MANAGEMENT,M6J,2018,2021,1925,PRIVATE,9,Davenport,34 HEYDON PARK RD,3,31,2021-05-05,73,Evaluation needs to be conducted in 2 years,15,4,3,3,3,4,4,,4,,,3,4,5,4,3,3,,4,4,,S0934,43.65297703,-79.42702579,310670.881,4834561.084
183648,4152924,,M6P,2017,2021,1992,TCHC,9,Davenport,77 RANKIN CRES,7,121,2021-05-05,73,Evaluation needs to be conducted in 2 years,19,4,3,4,3,3,4,3,4,4,,3,3,5,4,4,4,3,4,4,3,S0929,43.65834019,-79.44605165,309135.503,4835156.725
183649,4155014,,M6E,2017,2021,1952,PRIVATE,9,Davenport,345 WESTMOUNT AVE,3,29,2021-05-05,71,Evaluation needs to be conducted in 2 years,14,3,4,4,3,,3,,4,,,3,3,4,4,4,3,,4,4,,S0925,43.68441403,-79.4441627,309286.131,4838052.524
183650,4155764,SHAHUKAR PROPERTIES CORP,M8W,2019,2021,1955,PRIVATE,3,Etobicoke-Lakeshore,1 A BIRCHLEA AVE,3,21,2021-05-05,37,Building Audit,14,2,2,3,1,1,2,,2,,,1,1,3,2,2,2,,2,,,W0334,43.59276217,-79.52740543,302571.59,4827869.423
183651,4153108,,M6H,2018,2021,,PRIVATE,9,Davenport,156 BRANDON AVE,4,19,2021-05-05,67,Evaluation needs to be conducted in 2 years,14,3,3,3,3,,4,,3,,,3,3,5,4,3,3,,4,3,,S0927,43.66923324,-79.44593059,309144.453,4836366.875
183652,4153106,MAINSTAY HOUSING,M6N,2017,2021,1992,SOCIAL HOUSING,9,Davenport,223 OSLER ST,4,13,2021-05-05,64,Evaluation needs to be conducted in 1 year,18,3,3,4,3,3,3,3,3,,,3,3,4,3,3,4,4,3,3,3,S0926,43.66976012,-79.45897599,308092.381,4836424.835
183653,4155373,METCAP LIVING MANAGEMENT INC.,M9B,2017,2021,1966,PRIVATE,2,Etobicoke Centre,340 THE EAST MALL,8,77,2021-05-04,84,Evaluation needs to be conducted in 3 years,19,4,5,5,4,5,4,,4,4,4,4,5,5,4,5,3,4,4,3,4,W0234,43.63921198,-79.55727457,300163.043,4833031.882
183654,4155506,2660 LAKESHORE INC.,M8V,2017,2021,1960,PRIVATE,3,Etobicoke-Lakeshore,2660 LAKE SHORE BLVD W,4,15,2021-05-04,70,Evaluation needs to be conducted in 2 years,14,3,4,4,3,4,2,,3,,,4,4,4,3,4,4,,3,,,W0335,43.60357,-79.49393937,305273.579,4829069.811
183655,4155507,,M8V,2017,2021,1955,PRIVATE,3,Etobicoke-Lakeshore,2666 LAKE SHORE BLVD W,4,16,2021-05-04,69,Evaluation needs to be conducted in 2 years,14,3,3,4,4,4,2,,3,,,3,4,4,3,4,4,,3,,,W0335,43.60343955,-79.49428958,305245.309,4829055.318
183656,4356717,GILINDO MARCOCCHIO LIMITED,M8Y,2018,2021,1954,PRIVATE,3,Etobicoke-Lakeshore,177 STEPHEN DR,4,44,2021-05-04,69,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,,3,4,2,2,4,4,3,4,4,3,2,,,W0327,43.6399154,-79.48789232,305761.06,4833089.217
183657,4356415,GILINDO MARCOCCHIO LIMITED,M8Y,2018,2021,1954,PRIVATE,3,Etobicoke-Lakeshore,173 STEPHEN DR,6,13,2021-05-04,79,Evaluation needs to be conducted in 2 years,16,4,4,4,4,4,4,,3,4,,4,3,5,4,4,4,4,4,,,W0327,43.63965354,-79.48750743,305766.456,4833070.166
183658,4155707,DEL MANAGMENT,M9P,2017,2021,1970,TCHC,2,Etobicoke Centre,27 SCARLETTWOOD CRT,3,14,2021-05-04,67,Evaluation needs to be conducted in 2 years,17,3,3,4,2,3,4,,3,,3,3,5,5,3,2,3,4,4,3,,W0224,43.69327402,-79.51600101,303494.335,4839036.572
183659,4885483,BENTALLGREENOAK,,2021,2021,2017,PRIVATE,11,University-Rosedale,2 ST THOMAS ST,26,248,2021-05-04,100,Evaluation needs to be conducted in 3 years,19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,S1136,43.66811787,-79.39082961,313588.375,4836246.356
183660,4156285,MANTLER MANAGEMENT LTD.,M9A,2017,2021,1956,PRIVATE,2,Etobicoke Centre,319 THE KINGSWAY,3,21,2021-05-04,74,Evaluation needs to be conducted in 2 years,16,4,4,5,3,4,3,,3,,4,4,3,5,4,3,3,,4,3,,W0229,43.66520749,-79.52351493,302887.889,4835917.715
183661,4155236,GORBAY COMPANY LIMITED,M8Y,2017,2021,1956,PRIVATE,3,Etobicoke-Lakeshore,2 NEWHOLM RD,4,51,2021-05-03,74,Evaluation needs to be conducted in 2 years,17,4,3,4,4,3,4,,4,,3,3,3,5,4,4,3,4,4,4,,W0329,43.63603802,-79.4884023,305720.128,4832676.874
183662,4155267,,M8Y,2017,2021,1954,PRIVATE,3,Etobicoke-Lakeshore,10 HILL HEIGHTS RD,4,34,2021-05-03,69,Evaluation needs to be conducted in 2 years,17,4,4,5,3,2,4,,3,,4,3,3,5,2,4,3,4,3,3,,W0327,43.63907356,-79.4920727,305423.94,4833014.077
183663,4155333,GORBAY COMPANY LIMITED,M9A,2017,2021,1955,PRIVATE,2,Etobicoke Centre,15 ANGLESEY BLVD,3,41,2021-05-03,84,Evaluation needs to be conducted in 3 years,16,4,4,5,4,5,3,,3,,4,5,4,5,5,5,4,,5,2,,W0229,43.66418829,-79.52105157,303086.51,4835804.43
183664,4155317,,M9A,2017,2021,1958,PRIVATE,2,Etobicoke Centre,14-16 ANGLESEY BLVD,4,24,2021-05-03,75,Evaluation needs to be conducted in 2 years,16,3,4,5,3,4,3,,3,,4,3,4,5,4,5,2,,4,4,,W0229,43.66524916,-79.52117214,303076.824,4835922.29
183665,4155257,SHALLOW'S APARTMENTS,M8Y,2017,2021,1968,PRIVATE,3,Etobicoke-Lakeshore,5 HILL HEIGHTS RD,5,36,2021-05-03,83,Evaluation needs to be conducted in 3 years,18,5,5,5,4,4,3,,4,4,4,5,4,4,4,5,5,3,4,3,,W0327,43.63845852,-79.49250194,305389.291,4832945.746
183666,4153389,,M5E,2018,2021,1993,SOCIAL HOUSING,13,Toronto Centre,110 THE ESPLANADE,9,205,2021-05-03,82,Evaluation needs to be conducted in 3 years,17,4,4,5,4,4,4,4,4,4,,4,4,5,4,4,4,4,4,,,S1339,43.64803026,-79.37239123,315078.766,4834016.84
183667,4155246,GORBAY COMPANY LIMITED,M8Y,2017,2021,1956,PRIVATE,3,Etobicoke-Lakeshore,2 KINSDALE BLVD,4,45,2021-05-03,84,Evaluation needs to be conducted in 3 years,17,4,4,4,3,4,4,,3,,4,4,4,5,5,5,5,5,5,3,,W0329,43.63701861,-79.48827296,305733.855,4832772.095
183668,4155238,,M8Y,2017,2021,1953,PRIVATE,3,Etobicoke-Lakeshore,4 KINSDALE BLVD,4,42,2021-05-03,69,Evaluation needs to be conducted in 2 years,16,3,4,5,2,3,4,,4,,,2,3,4,3,4,3,4,3,4,,W0329,43.63618177,-79.48992422,305597.035,4832693.783
183669,4155229,,M8Y,2017,2021,1956,PRIVATE,3,Etobicoke-Lakeshore,5 KINSDALE BLVD,4,22,2021-05-03,74,Evaluation needs to be conducted in 2 years,17,4,5,4,4,3,2,,4,,3,4,4,5,3,5,3,3,4,3,,W0329,43.63535372,-79.49124561,305490.661,4832600.828
183670,4155255,1471147 ONTARIO LTD,M8Y,2017,2021,1954,PRIVATE,3,Etobicoke-Lakeshore,1 HILL HEIGHTS RD,4,30,2021-05-03,79,Evaluation needs to be conducted in 2 years,17,4,5,4,3,4,4,,4,,3,4,4,4,4,5,5,4,4,2,,W0327,43.63806157,-79.49376964,305286.99,4832901.638
183671,4155242,MRF RIDLEY INC.,M8Y,2017,2021,1959,PRIVATE,3,Etobicoke-Lakeshore,10 KINSDALE BLVD,4,23,2021-05-03,71,Evaluation needs to be conducted in 2 years,17,4,4,4,3,4,3,,4,,3,4,4,5,3,2,4,4,3,2,,W0329,43.63581647,-79.49157595,305463.996,4832652.234
183672,4155351,,M9P,2017,2021,1995,SOCIAL HOUSING,2,Etobicoke Centre,1447 ROYAL YORK RD,4,108,2021-05-03,92,Evaluation needs to be conducted in 3 years,17,5,5,5,5,4,5,5,4,4,,4,5,5,5,4,4,,5,4,,W0224,43.68652753,-79.52765502,302554.883,4838286.392
183673,4153515,,M4Y,2017,2021,1994,TCHC,13,Toronto Centre,21 ST JOSEPH ST,5,35,2021-04-30,83,Evaluation needs to be conducted in 3 years,18,4,4,5,5,5,5,4,4,5,,4,4,5,3,4,4,3,3,4,,S1321,43.66563543,-79.38638814,313946.949,4835971.066
183674,4155117,GREENWIN CORP.,M6M,2017,2021,1970,PRIVATE,5,York South-Weston,5 GREENTREE CRT,3,17,2021-04-30,70,Evaluation needs to be conducted in 2 years,16,3,3,5,3,3,3,,4,,3,3,4,5,3,4,3,,4,3,,W0532,43.69226395,-79.47897924,306478.974,4838923.358
183675,4156744,HARVEY KALLES,M6E,2018,2021,1945,PRIVATE,9,Davenport,36 ROSECLIFFE AVE,4,26,2021-04-30,71,Evaluation needs to be conducted in 2 years,13,3,3,5,3,,3,,4,,,3,4,5,3,3,4,,3,,,S0925,43.68396137,-79.44379624,309315.445,4838003.208
183676,4153857,,M4P,2017,2021,1987,TCHC,15,Don Valley West,2567 YONGE ST,6,105,2021-04-30,74,Evaluation needs to be conducted in 2 years,17,3,4,4,3,4,3,4,4,4,,3,2,5,4,4,4,,5,3,,N1526,43.71404819,-79.39939631,312891.412,4841348.24
183677,4153859,,M4N,2017,2021,1937,TCHC,15,Don Valley West,2745 YONGE ST,4,41,2021-04-30,71,Evaluation needs to be conducted in 2 years,15,4,4,4,3,,3,3,4,,,3,3,4,4,3,4,,4,3,,N1526,43.71804419,-79.40010397,312833.856,4841792.101
183678,4153860,TCH,M4N,2017,2021,1970,TCHC,15,Don Valley West,2765 YONGE ST,4,31,2021-04-30,73,Evaluation needs to be conducted in 2 years,16,4,4,5,3,3,3,4,3,,,3,3,5,4,4,3,,4,3,,N1526,43.71848799,-79.40010634,312833.606,4841841.405
183679,4153644,,M4M,2017,2021,1996,SOCIAL HOUSING,14,Toronto-Danforth,1119 GERRARD ST E,5,29,2021-04-30,74,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,3,4,3,4,,3,4,4,4,3,3,,4,3,,S1438,43.66955058,-79.33319415,318246.299,4836419.586
183680,4155626,TCH,M6A,2017,2021,1957,TCHC,8,Eglinton-Lawrence,5 LEILA LANE,3,31,2021-04-30,69,Evaluation needs to be conducted in 2 years,16,2,4,5,3,4,4,,4,4,,2,3,5,3,2,3,,3,4,,N0823,43.72128235,-79.44523975,309196.449,4842149.332
183681,4153568,,M5A,2017,2021,1992,SOCIAL HOUSING,13,Toronto Centre,205 PARLIAMENT ST,6,16,2021-04-30,89,Evaluation needs to be conducted in 3 years,18,4,5,5,5,5,5,,4,4,,4,5,5,4,4,4,4,4,4,5,S1330,43.65644393,-79.36445706,315717.036,4834953.523
183682,4154566,MPM INC.,M6A,2017,2021,1960,PRIVATE,8,Eglinton-Lawrence,96 MULHOLLAND AVE,3,11,2021-04-30,69,Evaluation needs to be conducted in 2 years,15,2,4,4,2,3,3,,4,,,2,4,5,4,4,4,,4,3,,N0823,43.72070643,-79.45527476,308388.209,4842083.918
183683,4155595,,M5E,2017,2021,1996,TCHC,10,Spadina-Fort York,1 CHURCH ST,13,115,2021-04-30,87,Evaluation needs to be conducted in 3 years,18,4,4,5,4,4,4,5,4,4,,4,5,5,5,4,5,,4,4,4,S1038,43.64703285,-79.37286971,315040.337,4833905.974
183684,4155641,TCH,M6A,2017,2021,1957,TCHC,8,Eglinton-Lawrence,51 BLOSSOMFIELD DR,4,30,2021-04-30,67,Evaluation needs to be conducted in 2 years,15,3,3,4,2,4,3,,3,,,2,3,5,3,3,4,,4,4,,N0823,43.71856484,-79.44814256,308963,4841846.317
183685,4155914,,M6B,2017,2021,1992,TCHC,8,Eglinton-Lawrence,3036 BATHURST ST,7,160,2021-04-30,73,Evaluation needs to be conducted in 2 years,18,4,4,5,3,3,3,4,4,4,,3,3,4,4,3,3,4,4,4,,N0827,43.71850323,-79.42984068,310431.385,4841846.135
183686,4154679,,M5M,2017,2021,1953,PRIVATE,8,Eglinton-Lawrence,2135 AVENUE RD,3,54,2021-04-30,74,Evaluation needs to be conducted in 2 years,16,4,4,5,3,3,4,,3,4,,3,3,5,3,3,4,,4,4,,N0824,43.73916668,-79.42089964,311155.974,4844136.782
183687,4153617,PAUL THORNTON,M4K,2017,2021,1955,PRIVATE,14,Toronto-Danforth,856-858 BROADVIEW AVE,4,23,2021-04-30,66,Evaluation needs to be conducted in 2 years,14,3,3,4,3,3,3,,3,,,3,4,4,3,3,4,,3,,,S1424,43.67928029,-79.35842329,316192.655,4837481.068
183688,4156004,HARVEY KALLES,M6E,2018,2021,1945,PRIVATE,9,Davenport,34 ROSECLIFFE AVE,4,26,2021-04-30,67,Evaluation needs to be conducted in 2 years,15,3,3,5,3,2,3,,4,,2,3,4,5,3,3,4,,3,,,S0925,43.68392009,-79.44397294,309292.746,4837996.205
183689,4270170,MAPLE LEAF PROPERTY MANAGEMENT,M4W,2017,2021,1972,PRIVATE,11,University-Rosedale,88 BLOOR ST E,25,336,2021-04-29,80,Evaluation needs to be conducted in 2 years,17,5,5,5,4,4,3,3,3,3,3,4,5,5,4,4,4,,4,,,S1129,43.67085485,-79.38501175,314057.161,4836551.059
183690,4569135,,M4J,2019,2021,1956,PRIVATE,14,Toronto-Danforth,135 SAMMON AVE,3,11,2021-04-29,66,Evaluation needs to be conducted in 2 years,16,3,4,3,3,3,3,,4,,3,3,3,5,3,3,3,,4,3,,S1422,43.68507918,-79.34235684,317493.881,4838136.918
183691,4152634,,M1L,2017,2021,1959,PRIVATE,21,Scarborough Centre,5 RANNOCK ST,4,28,2021-04-29,78,Evaluation needs to be conducted in 2 years,16,5,3,3,4,3,4,,3,,,3,3,5,5,4,3,5,5,4,,E2131,43.72849771,-79.29918023,320963.145,4842968.046
183692,4153652,,M4K,2018,2021,1922,PRIVATE,14,Toronto-Danforth,796 CARLAW AVE,4,31,2021-04-29,58,Evaluation needs to be conducted in 1 year,13,3,3,4,3,,3,,3,,,3,3,2,3,3,3,,2,,,S1425,43.67884592,-79.34781782,317054.646,4837444.582
183693,4153592,,M4X,2017,2021,1910,PRIVATE,13,Toronto Centre,2 PROSPECT ST,4,15,2021-04-29,71,Evaluation needs to be conducted in 2 years,15,3,4,4,3,2,3,,4,,,3,4,5,3,3,5,3,4,,,S1323,43.66676675,-79.37160224,315139.21,4836098.467
183694,4153646,,M4K,2017,2021,1981,TCHC,14,Toronto-Danforth,369 PAPE AVE,8,139,2021-04-29,81,Evaluation needs to be conducted in 3 years,19,4,4,5,4,4,5,3,3,4,,3,5,4,4,4,4,4,4,4,5,S1430,43.66981173,-79.34071073,317629.833,4836441.05
183695,4288772,,M4M,2017,2021,1996,SOCIAL HOUSING,14,Toronto-Danforth,55 PAPE AVE,5,60,2021-04-29,64,Evaluation needs to be conducted in 1 year,18,3,3,3,3,3,3,3,3,4,,3,4,5,3,3,3,3,3,3,,S1441,43.66046525,-79.33700731,317932.285,4835415.854
183696,4155900,TURTLEDOVE MANAGEMENT,M5T,2017,2021,1895,PRIVATE,11,University-Rosedale,88 OXFORD ST,4,11,2021-04-29,67,Evaluation needs to be conducted in 2 years,14,3,3,4,3,4,2,,4,,,4,3,5,4,3,3,,2,,,S1143,43.65585714,-79.40468473,312472.609,4834882.84
183697,4604174,,M4K,,2021,,PRIVATE,14,Toronto-Danforth,160 FLOYD AVE,3,12,2021-04-29,60,Evaluation needs to be conducted in 1 year,14,3,3,2,3,,3,,3,,,3,2,5,3,3,3,,3,3,,S1421,43.68757738,-79.34848109,316999.391,4838414.515
183698,4154602,HANNAH GROUP,M3H,2017,2021,1950,PRIVATE,6,York Centre,4110 BATHURST ST,3,16,2021-04-29,62,Evaluation needs to be conducted in 1 year,18,3,3,3,3,3,3,,4,1,3,3,4,5,3,3,3,3,3,3,,N0629,43.74586214,-79.43651281,309897.822,4844879.562
183699,4890985,CAPREIT,M6K,2021,2021,2019,PRIVATE,10,Spadina-Fort York,1100 KING ST W,35,506,2021-04-29,99,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,S1026,,,310980.728,4833129.695
183700,4156726,HOUSELINK COMMUNITY HOMES,M5A,2017,2021,2012,SOCIAL HOUSING,13,Toronto Centre,40 OAK ST,4,87,2021-04-29,65,Evaluation needs to be conducted in 1 year,17,3,4,4,3,4,3,3,3,3,,3,4,2,4,3,3,,3,,3,S1330,,,315649.499,4835505.392
183701,4153049,LA VALETTE PROPERTY MANAGEMENT,M6R,2017,2021,1969,PRIVATE,4,Parkdale-High Park,246 RONCESVALLES AVE,3,22,2021-04-29,76,Evaluation needs to be conducted in 2 years,15,3,4,4,3,3,4,,3,,4,4,4,5,4,4,4,,4,,,S0432,43.64608157,-79.44942849,308864.225,4833793.753
183702,4152915,,M6S,2017,2021,1923,PRIVATE,4,Parkdale-High Park,2520 BLOOR ST W,4,22,2021-04-29,63,Evaluation needs to be conducted in 1 year,16,2,3,4,3,2,3,,3,,,3,3,5,3,3,3,3,3,4,,S0430,43.64805309,-79.48936947,305641.932,4834011.683
183703,4152998,,M6K,2017,2021,1992,TCHC,4,Parkdale-High Park,1447 KING ST W,6,59,2021-04-29,78,Evaluation needs to be conducted in 2 years,19,4,4,5,3,4,4,4,4,4,3,4,5,5,4,3,4,3,3,4,,S0437,43.63667366,-79.43765875,309814.512,4832749.203
183704,4154639,,M2R,2017,2021,1969,PRIVATE,6,York Centre,601 FINCH AVE W,14,170,2021-04-28,64,Evaluation needs to be conducted in 1 year,19,3,4,3,3,2,3,2,3,4,3,3,3,5,3,3,3,4,4,3,,N0624,43.77070839,-79.45171713,308671.446,4847640.014
183705,4255529,,M6H,2017,2021,1910,PRIVATE,9,Davenport,97 NORTHCLIFFE BLVD,3,10,2021-04-28,66,Evaluation needs to be conducted in 2 years,13,3,4,5,3,,3,,3,,,3,3,3,3,3,4,,3,,,S0928,43.67824012,-79.44061192,309572.876,4837366.827
183706,4888759,,M4B,,2021,,PRIVATE,19,Beaches-East York,990 O'CONNOR DR,3,18,2021-04-28,57,Evaluation needs to be conducted in 1 year,14,2,3,4,2,,3,,3,,,2,3,4,3,3,2,,3,3,,S1921,43.70892821,-79.31076693,320034.661,4840791.817
183707,4153710,,M4E,2017,2021,1910,PRIVATE,19,Beaches-East York,2 MAIN ST,3,11,2021-04-28,20,Building Audit,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,S1935,43.67904692,-79.29837985,321040.936,4837474.429
183708,4332678,,M4Y,,2021,1920,PRIVATE,13,Toronto Centre,36 MAITLAND ST,4,27,2021-04-28,76,Evaluation needs to be conducted in 2 years,16,4,4,3,4,3,4,,4,,4,4,3,5,4,4,4,,4,3,,S1326,43.66454922,-79.38232431,314274.864,4835850.85
